code_module,code_presentation,guid_student_id,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,imputed_demo,imd_band_ord,age_band_ord,n_assessments,n_finished,mean_score_raw,submission_rate,weighted_score,n_exam,total_clicks,mean_clicks,active_sessions,active_weeks,n_resource_types,y_pass,risk_composite,y_risk_ordinal,y_score_reg,cluster
EG043,2024J,26B47304-C87C-48F3-8C24-6400F504C219,M,Cleveland DSC,A Level or Equivalent,60-70%,18-20,1.0,0.0,N,inProgress,0,6,0,7.0,1.0,1.1428571428571428,0.14285714285714285,5.0,2.0,182.0,9.1,20.0,7.0,5.0,1,0.6104644572722046,2,5.0,1
EG043,2024J,67BD1359-A552-41E5-9ED8-2BA72982D5AC,F,Cleveland DSC,A Level or Equivalent,20-30%,18-20,1.0,0.0,N,inProgress,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.9179313712805823,0,0.0,0
EG043,2024J,63B1D082-36B3-484C-A887-B58C05542270,F,Cleveland DSC,A Level or Equivalent,60-70%,18-20,1.0,0.0,N,inProgress,0,6,0,7.0,1.0,0.38,0.14285714285714285,0.9975,2.0,283.0,5.895833333333333,48.0,7.0,6.0,0,-0.030967884147031915,1,0.9975,0
EG043,2024J,4F7F0C21-A624-42F0-B2C5-CCB5E2582501,F,Cleveland DSC,A Level or Equivalent,20-30%,25-30,1.0,0.0,N,inProgress,0,2,2,11.0,3.0,1.2518181818181817,0.2727272727272727,4.724545454545455,3.0,408.0,5.666666666666667,72.0,7.0,6.0,1,1.0831502973018328,2,4.724545454545455,1
EG043,2024J,DC81FE63-74DC-4E29-A1E4-3190B714710E,F,Jhon Tukey,A Level or Equivalent,20-30%,18-20,1.0,0.0,N,inProgress,0,2,0,6.0,0.0,0.0,0.0,0.0,1.0,145.0,6.041666666666667,24.0,4.0,6.0,0,-0.5758149774765762,1,0.0,0
EG043,2024J,4D7A5CBE-DF99-4CC7-B4AF-CF568CACDB94,M,Cleveland DSC,A Level or Equivalent,20-30%,30-35,6.0,43.0,N,inProgress,0,2,3,3.0,0.0,0.0,0.0,0.0,0.0,31.0,2.2142857142857144,14.0,2.0,6.0,0,-0.8447892457086913,1,0.0,0
EG043,2024J,49C0BC83-2CC6-44E4-9E87-EB7412501F31,M,Codd RDBMS,A Level or Equivalent,20-30%,18-20,2.0,14.0,N,inProgress,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.9179313712805823,0,0.0,0
EG043,2024J,BCA83041-1138-4BD6-84C7-4E44C510A4EE,F,Cleveland DSC,A Level or Equivalent,20-30%,18-20,2.0,14.0,N,inProgress,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.9179313712805823,0,0.0,0
EG043,2024J,2163182C-706C-4BA0-81B2-B9CC76A4FA00,F,Cleveland DSC,A Level or Equivalent,20-30%,25-30,3.0,125.0,N,inProgress,0,2,2,9.0,2.0,1.0255555555555556,0.2222222222222222,4.108181818181818,3.0,169.0,5.451612903225806,31.0,6.0,5.0,1,0.38377374679330456,1,4.108181818181818,1
EG043,2024J,E552B594-41BB-494B-85D6-D43344673DAA,F,Cleveland DSC,A Level or Equivalent,20-30%,18-20,2.0,14.0,N,inProgress,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.9179313712805823,0,0.0,0
EG043,2024J,82CD473D-4521-4333-B597-A1002F464D2E,F,Cleveland DSC,A Level or Equivalent,20-30%,25-30,6.0,43.0,N,inProgress,0,2,2,3.0,0.0,0.0,0.0,0.0,0.0,53.0,6.625,8.0,1.0,5.0,0,-0.7928819307867041,1,0.0,0
EG043,2024J,9A42DE4D-A916-4456-8FF2-6C66131E6150,F,Cleveland DSC,A Level or Equivalent,20-30%,25-30,6.0,131.0,N,inProgress,0,2,2,9.0,1.0,0.13777777777777778,0.1111111111111111,0.62,2.0,293.0,13.318181818181818,22.0,4.0,6.0,0,-0.09034669813172658,1,0.62,0
EG043,2024J,708F5491-C736-4327-A5D6-1CEF828A9865,F,Cleveland DSC,A Level or Equivalent,20-30%,30-35,4.0,31.0,N,inProgress,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.6,5.0,2.0,3.0,0,-0.8872588670084989,0,0.0,0
EG043,2024J,3CDE878A-42F4-4B47-843F-35167C7DA4B4,F,Cleveland DSC,A Level or Equivalent,20-30%,18-20,2.0,14.0,N,inProgress,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.9179313712805823,0,0.0,0
EG043,2024J,2493F1BC-1A25-483D-94D1-02B444593E21,F,Cleveland DSC,A Level or Equivalent,20-30%,20-25,5.0,25.0,N,inProgress,0,2,1,13.0,4.0,0.8,0.3076923076923077,2.8,4.0,676.0,10.08955223880597,67.0,7.0,6.0,1,1.292468081364177,2,2.8,1
